6 time: 2020-10-18 00:10, wait: 0
4 time: 2020-10-18 00:11, wait: 0
8 time: 2020-10-18 00:11, wait: 0
7 time: 2020-10-18 00:12, wait: 0
5 time: 2020-10-18 00:13, wait: 0
5 time: 2020-10-18 00:13, wait: 0
6 time: 2020-10-18 00:14, wait: 0
10 time: 2020-10-18 00:14, wait: 0
6 time: 2020-10-18 00:15, wait: 0
4 time: 2020-10-18 00:15, wait: 0
5 time: 2020-10-18 00:16, wait: 0
3 time: 2020-10-18 00:17, wait: 0
7 time: 2020-10-18 00:17, wait: 0
4 time: 2020-10-18 00:18, wait: 0
7 time: 2020-10-18 00:19, wait: 0
5 time: 2020-10-18 00:19, wait: 0
5 time: 2020-10-18 00:20, wait: 0
7 time: 2020-10-18 00:20, wait: 0
4 time: 2020-10-18 00:21, wait: 0
7 time: 2020-10-18 00:22, wait: 0
6 time: 2020-10-18 00:22, wait: 0
6 time: 2020-10-18 00:23, wait: 0
5 time: 2020-10-18 00:23, wait: 0
8 time: 2020-10-18 00:24, wait: 0
7 time: 2020-10-18 00:27, wait: 0
8 time: 2020-10-18 00:28, wait: 0
3 time: 2020-10-18 00:29, wait: 0
3 time: 2020-10-18 00:29, wait: 0
6 time: 2020-10-18 00:30, wait: 0
5 time: 2020-10-18 00:31, wait: 0
2 time: 2020-10-18 00:31, wait: 0
5 time: 2020-10-18 00:37, wait: 0
5 time: 2020-10-18 00:38, wait: 0
6 time: 2020-10-18 00:38, wait: 0
11 time: 2020-10-18 00:40, wait: 0
11 time: 2020-10-18 00:45, wait: 0
2 time: 2020-10-18 00:48, wait: 0
5 time: 2020-10-18 00:54, wait: 0
2 time: 2020-10-18 01:06, wait: 0
9 time: 2020-10-18 01:11, wait: 0
6 time: 2020-10-18 01:13, wait: 0
7 time: 2020-10-18 01:14, wait: 0
3 time: 2020-10-18 01:27, wait: 0
4 time: 2020-10-18 01:29, wait: 0
4 time: 2020-10-18 01:36, wait: 0
6 time: 2020-10-18 01:44, wait: 0
6 time: 2020-10-18 01:47, wait: 0
8 time: 2020-10-18 01:50, wait: 0
8 time: 2020-10-18 01:55, wait: 0
4 time: 2020-10-18 02:01, wait: 0
4 time: 2020-10-18 02:05, wait: 0
3 time: 2020-10-18 02:06, wait: 0
6 time: 2020-10-18 02:08, wait: 0
6 time: 2020-10-18 02:10, wait: 0
5 time: 2020-10-18 02:11, wait: 0
7 time: 2020-10-18 02:14, wait: 0
2 time: 2020-10-18 02:18, wait: 0
5 time: 2020-10-18 02:21, wait: 0
4 time: 2020-10-18 02:23, wait: 0
2 time: 2020-10-18 02:27, wait: 0
1 time: 2020-10-18 02:32, wait: 0
5 time: 2020-10-18 02:37, wait: 0
5 time: 2020-10-18 02:38, wait: 0
1 time: 2020-10-18 02:39, wait: 0
5 time: 2020-10-18 02:39, wait: 0
8 time: 2020-10-18 02:42, wait: 0
6 time: 2020-10-18 02:44, wait: 0
2 time: 2020-10-18 02:45, wait: 0
7 time: 2020-10-18 02:45, wait: 0
6 time: 2020-10-18 02:50, wait: 0
6 time: 2020-10-18 02:51, wait: 0
5 time: 2020-10-18 02:54, wait: 0
6 time: 2020-10-18 02:55, wait: 0
7 time: 2020-10-18 02:56, wait: 0
5 time: 2020-10-18 03:00, wait: 0
7 time: 2020-10-18 03:07, wait: 0
5 time: 2020-10-18 03:11, wait: 0
5 time: 2020-10-18 03:14, wait: 0
5 time: 2020-10-18 03:16, wait: 0
4 time: 2020-10-18 03:16, wait: 0
6 time: 2020-10-18 03:21, wait: 0
4 time: 2020-10-18 03:24, wait: 0
5 time: 2020-10-18 03:25, wait: 0
6 time: 2020-10-18 03:26, wait: 0
6 time: 2020-10-18 03:27, wait: 0
9 time: 2020-10-18 03:29, wait: 0
7 time: 2020-10-18 03:31, wait: 0
7 time: 2020-10-18 03:32, wait: 0
6 time: 2020-10-18 03:33, wait: 0
7 time: 2020-10-18 03:33, wait: 0
9 time: 2020-10-18 03:34, wait: 0
5 time: 2020-10-18 03:42, wait: 0
10 time: 2020-10-18 04:28, wait: 0
12 time: 2020-10-18 04:29, wait: 0
11 time: 2020-10-18 04:29, wait: 0
11 time: 2020-10-18 04:30, wait: 0
11 time: 2020-10-18 04:31, wait: 0
12 time: 2020-10-18 04:32, wait: 0
12 time: 2020-10-18 04:32, wait: 0
10 time: 2020-10-18 04:38, wait: 0
11 time: 2020-10-18 04:41, wait: 0
13 time: 2020-10-18 04:42, wait: 0
12 time: 2020-10-18 04:42, wait: 0
12 time: 2020-10-18 04:43, wait: 0
11 time: 2020-10-18 04:44, wait: 0
10 time: 2020-10-18 04:44, wait: 0
13 time: 2020-10-18 04:45, wait: 0
10 time: 2020-10-18 04:45, wait: 0
12 time: 2020-10-18 04:46, wait: 0
10 time: 2020-10-18 04:46, wait: 0
12 time: 2020-10-18 04:47, wait: 0
11 time: 2020-10-18 04:48, wait: 0
13 time: 2020-10-18 04:48, wait: 0
16 time: 2020-10-18 04:49, wait: 0
14 time: 2020-10-18 04:49, wait: 0
11 time: 2020-10-18 04:50, wait: 0
13 time: 2020-10-18 04:50, wait: 0
14 time: 2020-10-18 04:51, wait: 0
12 time: 2020-10-18 04:52, wait: 0
12 time: 2020-10-18 04:52, wait: 0
12 time: 2020-10-18 04:53, wait: 0
12 time: 2020-10-18 04:54, wait: 0
12 time: 2020-10-18 04:54, wait: 0
12 time: 2020-10-18 04:55, wait: 0
9 time: 2020-10-18 04:55, wait: 0
11 time: 2020-10-18 04:56, wait: 0
10 time: 2020-10-18 04:57, wait: 0
9 time: 2020-10-18 04:57, wait: 0
9 time: 2020-10-18 04:58, wait: 0
9 time: 2020-10-18 04:58, wait: 0
10 time: 2020-10-18 04:59, wait: 0
9 time: 2020-10-18 04:59, wait: 0
11 time: 2020-10-18 05:00, wait: 0
13 time: 2020-10-18 05:01, wait: 0
14 time: 2020-10-18 05:01, wait: 0
11 time: 2020-10-18 05:02, wait: 0
13 time: 2020-10-18 05:02, wait: 0
13 time: 2020-10-18 05:03, wait: 0
12 time: 2020-10-18 05:03, wait: 0
13 time: 2020-10-18 05:04, wait: 0
14 time: 2020-10-18 05:05, wait: 0
12 time: 2020-10-18 05:05, wait: 0
10 time: 2020-10-18 05:06, wait: 0
11 time: 2020-10-18 05:06, wait: 0
11 time: 2020-10-18 05:07, wait: 0
14 time: 2020-10-18 05:07, wait: 0
11 time: 2020-10-18 05:08, wait: 0
12 time: 2020-10-18 05:09, wait: 0
12 time: 2020-10-18 05:10, wait: 0
13 time: 2020-10-18 05:11, wait: 0
12 time: 2020-10-18 05:11, wait: 0
11 time: 2020-10-18 05:12, wait: 0
12 time: 2020-10-18 05:13, wait: 0
11 time: 2020-10-18 05:14, wait: 1
21 time: 2020-10-18 05:19, wait: 0
21 time: 2020-10-18 05:19, wait: 0
21 time: 2020-10-18 05:20, wait: 0
21 time: 2020-10-18 05:28, wait: 0
21 time: 2020-10-18 05:28, wait: 1
21 time: 2020-10-18 05:28, wait: 1
21 time: 2020-10-18 05:28, wait: 1
